,commodity,supplier,Model_id,price_in_dollars,supplier_rating,component_rating
0,HDD500GB,Seasonic,685903,75.0,8,5
1,HDD500GB,ADATA,289636,84.0,4,7
2,HDD500GB,Buffalo Technology,673977,60.0,6,5
3,HDD500GB,Freecom,635030,77.0,5,4
4,HDD500GB,G-Technology,859363,67.0,7,3
5,HDD500GB,Hyundai,939891,57.0,5,4
6,HDD500GB,IoSafe,428599,72.0,9,7
7,HDD500GB,LaCie,179463,88.0,9,8
8,HDD500GB,LG,986108,97.0,4,8
9,HDD500GB,Maxtor,750425,77.0,5,3
10,HDD500GB,Shuttle SilverStoneTechnology,812078,53.0,7,9
11,HDD500GB,Promise Technology,954551,63.0,7,6
12,HDD500GB,Samsung,718056,59.0,7,7
13,HDD500GB,Seagate,415737,75.0,6,5
14,HDD500GB,Silicon Power,227342,64.0,8,5
15,HDD500GB,Sony,884938,63.0,6,5
16,HDD500GB,Toshiba,651642,91.0,4,7
17,HDD500GB,Transcend Information,277032,58.0,6,6
18,HDD500GB,TrekStor,643911,90.0,8,5
19,HDD500GB,Verbatim Corporation,859782,88.0,5,8
20,HDD500GB,Western Digital,232164,70.0,4,7
21,HDD500GB,Thermaltake,740432,80.0,6,6
22,HDD500GB,UltraProducts,220703,89.0,4,4
23,HDD500GB,Intel,223271,70.0,6,3
24,HDD500GB,Nvidia,451148,90.0,9,3
25,HDD500GB,Acer,615584,66.0,6,3
26,HDD500GB,ACubeSystems,178923,82.0,8,3
27,HDD500GB,AMAX Information Technologies,160215,75.0,7,9
28,HDD500GB,AOpen,356250,53.0,5,8
29,HDD500GB,Chassis Plans,950950,71.0,8,5
30,CPU,Seasonic,828851,233.0,9,9
31,CPU,ADATA,889948,283.0,8,6
32,CPU,Buffalo Technology,127692,236.0,9,6
33,CPU,Freecom,210271,113.0,5,4
34,CPU,G-Technology,464344,148.0,5,3
35,CPU,Hyundai,330552,139.0,5,5
36,CPU,IoSafe,669527,148.0,8,9
37,CPU,LaCie,230160,202.0,4,4
38,CPU,LG,989595,129.0,8,3
39,CPU,Maxtor,148317,112.0,6,4
40,CPU,Shuttle SilverStoneTechnology,865888,157.0,8,9
41,CPU,Promise Technology,436184,268.0,9,5
42,CPU,Samsung,744558,220.0,7,5
43,CPU,Seagate,928164,239.0,7,9
44,CPU,Silicon Power,655502,165.0,9,4
45,CPU,Sony,584489,185.0,6,3
46,CPU,Toshiba,509431,141.0,8,7
47,CPU,Transcend Information,650083,197.0,7,8
48,CPU,TrekStor,811752,229.0,6,7
49,CPU,Verbatim Corporation,329203,112.0,8,7
50,CPU,Western Digital,391760,234.0,9,9
51,CPU,Thermaltake,667696,275.0,5,3
52,CPU,UltraProducts,164886,199.0,9,8
53,CPU,Intel,285693,223.0,4,7
54,CPU,Nvidia,864844,238.0,7,8
55,CPU,Acer,401660,154.0,6,4
56,CPU,ACubeSystems,428444,253.0,9,5
57,CPU,AMAX Information Technologies,556263,225.0,6,3
58,CPU,AOpen,630711,148.0,4,5
59,CPU,Chassis Plans,820394,266.0,5,8
60,MotherBoard,Seasonic,733577,173.0,7,6
61,MotherBoard,ADATA,217539,146.0,6,6
62,MotherBoard,Buffalo Technology,498653,120.0,6,4
63,MotherBoard,Freecom,744487,171.0,6,8
64,MotherBoard,G-Technology,228151,174.0,8,9
65,MotherBoard,Hyundai,673532,127.0,7,3
66,MotherBoard,IoSafe,596375,64.0,8,5
67,MotherBoard,LaCie,691072,51.0,4,7
68,MotherBoard,LG,830773,80.0,6,3
69,MotherBoard,Maxtor,151556,147.0,6,9
70,MotherBoard,Shuttle SilverStoneTechnology,985667,109.0,4,4
71,MotherBoard,Promise Technology,598145,165.0,6,6
72,MotherBoard,Samsung,938211,133.0,4,7
73,MotherBoard,Seagate,747035,156.0,6,5
74,MotherBoard,Silicon Power,842619,55.0,4,3
75,MotherBoard,Sony,120961,198.0,9,4
76,MotherBoard,Toshiba,508475,133.0,8,7
77,MotherBoard,Transcend Information,566436,90.0,4,5
78,MotherBoard,TrekStor,468673,108.0,8,5
79,MotherBoard,Verbatim Corporation,340763,95.0,5,3
80,MotherBoard,Western Digital,744382,129.0,8,3
81,MotherBoard,Thermaltake,697689,65.0,8,5
82,MotherBoard,UltraProducts,844165,103.0,9,4
83,MotherBoard,Intel,585193,131.0,5,8
84,MotherBoard,Nvidia,236157,59.0,4,4
85,MotherBoard,Acer,286321,75.0,5,9
86,MotherBoard,ACubeSystems,753183,83.0,4,4
87,MotherBoard,AMAX Information Technologies,298047,180.0,6,7
88,MotherBoard,AOpen,146210,171.0,6,9
89,MotherBoard,Chassis Plans,310003,88.0,4,3
90,RAM8GB,Seasonic,890450,50.0,6,4
91,RAM8GB,ADATA,997426,78.0,8,5
92,RAM8GB,Buffalo Technology,540341,50.0,8,4
93,RAM8GB,Freecom,963811,58.0,5,6
94,RAM8GB,G-Technology,540523,56.0,6,8
95,RAM8GB,Hyundai,491098,78.0,4,8
96,RAM8GB,IoSafe,829135,98.0,4,5
97,RAM8GB,LaCie,985520,78.0,6,3
98,RAM8GB,LG,204972,82.0,7,9
99,RAM8GB,Maxtor,306955,67.0,8,4
100,RAM8GB,Shuttle SilverStoneTechnology,812425,71.0,5,9
101,RAM8GB,Promise Technology,854508,83.0,7,3
102,RAM8GB,Samsung,351715,57.0,9,3
103,RAM8GB,Seagate,596238,54.0,9,3
104,RAM8GB,Silicon Power,538926,55.0,4,6
105,RAM8GB,Sony,727324,97.0,8,9
106,RAM8GB,Toshiba,808884,87.0,8,6
107,RAM8GB,Transcend Information,325589,80.0,7,6
108,RAM8GB,TrekStor,675484,99.0,7,5
109,RAM8GB,Verbatim Corporation,745007,79.0,4,3
110,RAM8GB,Western Digital,850395,83.0,7,7
111,RAM8GB,Thermaltake,163523,55.0,9,3
112,RAM8GB,UltraProducts,929232,74.0,8,6
113,RAM8GB,Intel,380836,50.0,8,3
114,RAM8GB,Nvidia,273867,89.0,6,9
115,RAM8GB,Acer,155752,66.0,9,5
116,RAM8GB,ACubeSystems,629882,66.0,5,9
117,RAM8GB,AMAX Information Technologies,646554,62.0,6,5
118,RAM8GB,AOpen,414934,72.0,6,3
119,RAM8GB,Chassis Plans,746127,53.0,4,4
120,RAM16GB,Seasonic,152439,84.0,6,8
121,RAM16GB,ADATA,330349,86.0,5,8
122,RAM16GB,Buffalo Technology,770130,117.0,4,9
123,RAM16GB,Freecom,480967,158.0,4,7
124,RAM16GB,G-Technology,822051,86.0,9,7
125,RAM16GB,Hyundai,906301,87.0,8,4
126,RAM16GB,IoSafe,130604,86.0,7,9
127,RAM16GB,LaCie,473196,127.0,4,7
128,RAM16GB,LG,700911,132.0,8,4
129,RAM16GB,Maxtor,509373,113.0,8,9
130,RAM16GB,Shuttle SilverStoneTechnology,554280,126.0,8,5
131,RAM16GB,Promise Technology,698582,155.0,4,9
132,RAM16GB,Samsung,735558,104.0,4,3
133,RAM16GB,Seagate,387093,128.0,6,4
134,RAM16GB,Silicon Power,292149,138.0,9,8
135,RAM16GB,Sony,775884,95.0,7,5
136,RAM16GB,Toshiba,438907,159.0,4,6
137,RAM16GB,Transcend Information,231719,159.0,8,3
138,RAM16GB,TrekStor,990858,145.0,7,3
139,RAM16GB,Verbatim Corporation,981135,87.0,6,8
140,RAM16GB,Western Digital,640869,109.0,9,8
141,RAM16GB,Thermaltake,839428,106.0,8,9
142,RAM16GB,UltraProducts,805513,107.0,5,4
143,RAM16GB,Intel,558921,127.0,9,4
144,RAM16GB,Nvidia,710333,126.0,5,8
145,RAM16GB,Acer,626618,132.0,8,3
146,RAM16GB,ACubeSystems,556512,158.0,5,3
147,RAM16GB,AMAX Information Technologies,888670,83.0,5,4
148,RAM16GB,AOpen,117110,107.0,6,4
149,RAM16GB,Chassis Plans,671106,96.0,9,7
150,Keyboard,Seasonic,844460,69.0,7,3
151,Keyboard,ADATA,710950,86.0,4,9
152,Keyboard,Buffalo Technology,877704,90.0,9,5
153,Keyboard,Freecom,847426,63.0,5,5
154,Keyboard,G-Technology,690267,81.0,8,4
155,Keyboard,Hyundai,599818,81.0,9,6
156,Keyboard,IoSafe,451854,87.0,4,5
157,Keyboard,LaCie,761364,85.0,6,6
158,Keyboard,LG,589969,28.0,6,8
159,Keyboard,Maxtor,523261,19.0,9,8
160,Keyboard,Shuttle SilverStoneTechnology,899206,54.0,7,5
161,Keyboard,Promise Technology,564106,19.0,5,3
162,Keyboard,Samsung,729265,12.0,4,3
163,Keyboard,Seagate,623269,78.0,4,9
164,Keyboard,Silicon Power,651759,12.0,8,6
165,Keyboard,Sony,247505,98.0,4,9
166,Keyboard,Toshiba,887894,79.0,6,3
167,Keyboard,Transcend Information,793580,76.0,5,8
168,Keyboard,TrekStor,941321,59.0,5,6
169,Keyboard,Verbatim Corporation,875144,82.0,6,4
170,Keyboard,Western Digital,866940,76.0,6,9
171,Keyboard,Thermaltake,658767,34.0,4,5
172,Keyboard,UltraProducts,393285,98.0,9,6
173,Keyboard,Intel,964201,59.0,8,5
174,Keyboard,Nvidia,430327,56.0,5,5
175,Keyboard,Acer,851253,48.0,6,5
176,Keyboard,ACubeSystems,570276,62.0,6,4
177,Keyboard,AMAX Information Technologies,344187,84.0,8,9
178,Keyboard,AOpen,770284,99.0,8,5
179,Keyboard,Chassis Plans,788361,81.0,8,9
180,DVDdrive,Seasonic,819179,53.0,7,4
181,DVDdrive,ADATA,688550,49.0,5,5
182,DVDdrive,Buffalo Technology,767512,32.0,9,8
183,DVDdrive,Freecom,466817,39.0,5,9
184,DVDdrive,G-Technology,587893,67.0,4,9
185,DVDdrive,Hyundai,103947,73.0,5,8
186,DVDdrive,IoSafe,127100,51.0,4,9
187,DVDdrive,LaCie,675288,77.0,6,5
188,DVDdrive,LG,396755,38.0,8,8
189,DVDdrive,Maxtor,884631,61.0,6,3
190,DVDdrive,Shuttle SilverStoneTechnology,173337,57.0,7,7
191,DVDdrive,Promise Technology,371436,32.0,5,3
192,DVDdrive,Samsung,972301,51.0,8,3
193,DVDdrive,Seagate,490052,54.0,4,3
194,DVDdrive,Silicon Power,769383,33.0,7,4
195,DVDdrive,Sony,106229,52.0,9,4
